date,open,high,low,close,volume
object,float64,float64,float64,float64,int64
2007-08-13 00:00,2.02133,2.02585,2.0084,2.0114,1338156
2007-08-14 00:00,2.0114,2.0144,1.9979,2.0002,1936844
2007-08-15 00:00,2.0002,2.0003,1.98545,1.9916,2079347
2007-08-16 00:00,1.9916,1.9954,1.977,1.9775,1861756
2007-08-17 00:00,1.9776,1.9935,1.9651,1.9808,1263617
2007-08-18 00:00,1.9808,1.9835,1.9792,1.9804,89159
2007-08-20 00:00,1.981,1.9901,1.9768,1.9829,741363
2007-08-21 00:00,1.9828,1.9908,1.9743,1.9818,1144730
2007-08-22 00:00,1.9818,1.993,1.97983,1.9905,1267915
2007-08-23 00:00,1.9905,2.0094,1.9896,2.0035,1593903
2007-08-24 00:00,2.0035,2.0132,1.9978,2.0116,1435894
2007-08-25 00:00,2.0116,2.0149,2.011,2.0141,99582
2007-08-27 00:00,2.01348,2.0191,2.0124,2.0127,801968
2007-08-28 00:00,2.0127,2.0141,2.0025,2.00695,1489326
2007-08-29 00:00,2.007,2.0181,1.9958,2.0162,1675741
2007-08-30 00:00,2.0162,2.0184,2.0043,2.0164,1381125
2007-08-31 00:00,2.0164,2.0233,2.0108,2.0165,1172127
2007-09-01 00:00,2.0165,2.018,2.01605,2.0169,59548
2007-09-03 00:00,2.01715,2.0214,2.01333,2.0187,484412
2007-09-04 00:00,2.0187,2.0199,2.0072,2.01375,999872
2007-09-05 00:00,2.0139,2.0225,2.00425,2.0223,1124724
2007-09-06 00:00,2.0223,2.0265,2.0141,2.0221,1123731
2007-09-07 00:00,2.0221,2.03245,2.016,2.02815,1173030
2007-09-08 00:00,2.0282,2.0294,2.02745,2.0285,93307
2007-09-10 00:00,2.02758,2.033,2.0262,2.0278,472149
2007-09-11 00:00,2.0277,2.0336,2.0233,2.0302,941856
2007-09-12 00:00,2.0302,2.0366,2.0286,2.0309,1152195
2007-09-13 00:00,2.031,2.0317,2.02345,2.031,1022391
2007-09-14 00:00,2.0311,2.0346,2.00595,2.0073,931556
2007-09-15 00:00,2.0073,2.0109,2.0053,2.0072,113656
2007-09-17 00:00,2.00522,2.0092,1.9916,1.9955,792046
2007-09-18 00:00,1.9955,1.9999,1.9879,1.99855,813762
2007-09-19 00:00,1.99855,2.0173,1.99505,2.0007,1124126
2007-09-20 00:00,2.0007,2.0146,1.9973,2.009,915205
2007-09-21 00:00,2.00905,2.02135,2.00732,2.0191,969959
2007-09-22 00:00,2.0191,2.021,2.01865,2.02,88460
2007-09-24 00:00,2.0208,2.0318,2.0197,2.0216,632359
2007-09-25 00:00,2.0216,2.02275,2.00855,2.01835,893344
2007-09-26 00:00,2.0183,2.0217,2.01045,2.015,832107
2007-09-27 00:00,2.015,2.0285,2.0136,2.0245,832502
2007-09-28 00:00,2.0245,2.0418,2.01955,2.0406,1124630
2007-09-29 00:00,2.0405,2.0489,2.0405,2.0471,208133
2007-10-01 00:00,2.04546,2.0494,2.0375,2.0431,781001
2007-10-02 00:00,2.0432,2.0455,2.0369,2.0407,812377
2007-10-03 00:00,2.0407,2.04425,2.03395,2.0348,936479
2007-10-04 00:00,2.0348,2.0429,2.02775,2.0397,882050
2007-10-05 00:00,2.0398,2.0443,2.0301,2.0423,935435
2007-10-06 00:00,2.04225,2.0427,2.0407,2.0419,50714
2007-10-08 00:00,2.04157,2.0427,2.03505,2.0358,536888
2007-10-09 00:00,2.03575,2.0377,2.0257,2.0332,793132
2007-10-10 00:00,2.0332,2.0479,2.0312,2.0425,1395522
2007-10-11 00:00,2.0425,2.0437,2.03215,2.03355,1011051
2007-10-12 00:00,2.0336,2.0365,2.02465,2.0355,998648
2007-10-13 00:00,2.0355,2.0364,2.033,2.0358,91932
2007-10-15 00:00,2.03439,2.04355,2.0319,2.0419,1508040
2007-10-16 00:00,2.0419,2.0437,2.02945,2.03205,2271443
2007-10-17 00:00,2.03205,2.04185,2.02865,2.0372,1759868
2007-10-18 00:00,2.0372,2.0514,2.0342,2.04515,1334851
2007-10-19 00:00,2.04515,2.0524,2.04075,2.04925,799302
2007-10-20 00:00,2.04925,2.05205,2.04715,2.05135,114300
2007-10-22 00:00,2.0539,2.0548,2.0258,2.02755,711885
2007-10-23 00:00,2.0277,2.0509,2.02745,2.04945,684447
2007-10-24 00:00,2.04945,2.0518,2.04255,2.0472,899086
2007-10-25 00:00,2.04715,2.0553,2.04525,2.05025,1973483
2007-10-26 00:00,2.0503,2.05725,2.04805,2.05075,2018729
2007-10-27 00:00,2.05075,2.0536,2.05035,2.05175,337104
2007-10-29 00:00,2.05486,2.0626,2.05285,2.0609,1454391
2007-10-30 00:00,2.0609,2.0694,2.0565,2.0671,1819282
2007-10-31 00:00,2.0671,2.0789,2.06615,2.07715,1922274
2007-11-01 00:00,2.07715,2.0874,2.07445,2.08485,2099748
2007-11-02 00:00,2.08485,2.08945,2.0764,2.0891,1974774
2007-11-03 00:00,2.0891,2.08965,2.08775,2.08925,300257
2007-11-05 00:00,2.08906,2.08942,2.07815,2.0797,1366256
2007-11-06 00:00,2.07975,2.0906,2.0791,2.0857,642717
2007-11-07 00:00,2.0857,2.10715,2.08495,2.10415,932650
2007-11-08 00:00,2.10415,2.1116,2.0971,2.1102,618427
2007-11-09 00:00,2.1102,2.11615,2.089,2.091,1058558
2007-11-10 00:00,2.0911,2.0935,2.08795,2.08956,153281
2007-11-12 00:00,2.08543,2.0869,2.0587,2.06095,831806
2007-11-13 00:00,2.06095,2.0761,2.05215,2.07255,1002355
2007-11-14 00:00,2.07255,2.08435,2.05505,2.0584,970811
